,Cost,Cured,IndefiniteControl,InitialTumourSize,NCycles,RelTimeGained,SFrac,TimeGained,TimeToFailure,TreatmentBranch,Turnover
1,0.45,False,False,0.25,1.0,0.01968704655084503,0.9,5.070707070707044,262.6363636363636,0.5,0.1
0,0.5,False,False,0.25,,,0.9,,290.0,MTD,0.1
1,0.5,False,False,0.25,1.0,0.04172762103796587,0.9,12.101010101010104,302.1010101010101,0.5,0.1
0,0.0,False,False,0.25,,,0.9,,135.97979797979798,MTD,0.15000000000000002
1,0.0,False,False,0.25,0.0,0.0,0.9,0.0,135.97979797979798,0.5,0.15000000000000002
0,0.05,False,False,0.25,,,0.9,,145.04040404040404,MTD,0.15000000000000002
1,0.05,False,False,0.25,0.0,0.0,0.9,0.0,145.04040404040404,0.5,0.15000000000000002
0,0.1,False,False,0.25,,,0.9,,155.26262626262627,MTD,0.15000000000000002
1,0.1,False,False,0.25,0.0,0.0,0.9,0.0,155.26262626262627,0.5,0.15000000000000002
0,0.15000000000000002,False,False,0.25,,,0.9,,166.88888888888889,MTD,0.15000000000000002
1,0.15000000000000002,False,False,0.25,0.0,0.0,0.9,0.0,166.88888888888889,0.5,0.15000000000000002
0,0.2,False,False,0.25,,,0.9,,180.24242424242425,MTD,0.15000000000000002
1,0.2,False,False,0.25,0.0,0.0,0.9,0.0,180.24242424242425,0.5,0.15000000000000002
0,0.25,False,False,0.25,,,0.9,,195.76767676767676,MTD,0.15000000000000002
1,0.25,False,False,0.25,0.0,0.0,0.9,0.0,195.76767676767676,0.5,0.15000000000000002
0,0.30000000000000004,False,False,0.25,,,0.9,,214.05050505050505,MTD,0.15000000000000002
1,0.30000000000000004,False,False,0.25,0.0,0.0,0.9,0.0,214.05050505050505,0.5,0.15000000000000002
0,0.35000000000000003,False,False,0.25,,,0.9,,235.94949494949495,MTD,0.15000000000000002
1,0.35000000000000003,False,False,0.25,1.0,0.02367395864548991,0.9,5.585858585858574,241.53535353535352,0.5,0.15000000000000002
0,0.4,False,False,0.25,,,0.9,,262.72727272727275,MTD,0.15000000000000002
1,0.4,False,False,0.25,1.0,0.04682814302191446,0.9,12.303030303030255,275.030303030303,0.5,0.15000000000000002
0,0.45,False,False,0.25,,,0.9,,296.3131313131313,MTD,0.15000000000000002
1,0.45,False,False,0.25,1.0,0.05703085051985682,0.9,16.898989898989896,313.2121212121212,0.5,0.15000000000000002
0,0.5,False,False,0.25,,,0.9,,339.8484848484849,MTD,0.15000000000000002
1,0.5,False,False,0.25,1.0,0.060365581810075744,0.9,20.5151515151515,360.3636363636364,0.5,0.15000000000000002
0,0.0,False,False,0.25,,,0.9,,147.43434343434345,MTD,0.2
1,0.0,False,False,0.25,0.0,0.0,0.9,0.0,147.43434343434345,0.5,0.2
0,0.05,False,False,0.25,,,0.9,,157.78787878787878,MTD,0.2
1,0.05,False,False,0.25,0.0,0.0,0.9,0.0,157.78787878787878,0.5,0.2
0,0.1,False,False,0.25,,,0.9,,169.58585858585857,MTD,0.2
1,0.1,False,False,0.25,0.0,0.0,0.9,0.0,169.58585858585857,0.5,0.2
0,0.15000000000000002,False,False,0.25,,,0.9,,183.16161616161617,MTD,0.2
