,AbsTimeGained,Cured,IndefiniteControl,InitialTumourSize,NCycles,RFrac,RelTimeGained,TimeToFailure,TreatmentBranch,Turnover,Cost,Model
17,216.0,False,False,0.65,5.0,0.001,58.22102425876011,587.0,0.5,1.1111111111111112,0.0,odeModel_densDepDeath
0,,False,False,0.35,,0.1,,148.0,MTD,1.1111111111111112,0.1,odeModel_densDepDeath
1,0.0,False,False,0.35,0.0,0.1,0.0,148.0,0.5,1.1111111111111112,0.1,odeModel_densDepDeath
2,,False,False,0.35,,0.01,,250.0,MTD,1.1111111111111112,0.1,odeModel_densDepDeath
3,38.0,False,False,0.35,2.0,0.01,15.2,288.0,0.5,1.1111111111111112,0.1,odeModel_densDepDeath
4,,False,False,0.35,,0.001,,346.0,MTD,1.1111111111111112,0.1,odeModel_densDepDeath
5,81.0,False,False,0.35,4.0,0.001,23.410404624277454,427.0,0.5,1.1111111111111112,0.1,odeModel_densDepDeath
6,,False,False,0.5,,0.1,,182.0,MTD,1.1111111111111112,0.1,odeModel_densDepDeath
7,26.0,False,False,0.5,1.0,0.1,14.285714285714285,208.0,0.5,1.1111111111111112,0.1,odeModel_densDepDeath
8,,False,False,0.5,,0.01,,283.0,MTD,1.1111111111111112,0.1,odeModel_densDepDeath
9,92.0,False,False,0.5,3.0,0.01,32.50883392226148,375.0,0.5,1.1111111111111112,0.1,odeModel_densDepDeath
10,,False,False,0.5,,0.001,,378.0,MTD,1.1111111111111112,0.1,odeModel_densDepDeath
11,160.0,False,False,0.5,5.0,0.001,42.32804232804233,538.0,0.5,1.1111111111111112,0.1,odeModel_densDepDeath
12,,False,False,0.65,,0.1,,270.0,MTD,1.1111111111111112,0.1,odeModel_densDepDeath
13,48.0,False,False,0.65,1.0,0.1,17.77777777777778,318.0,0.5,1.1111111111111112,0.1,odeModel_densDepDeath
14,,False,False,0.65,,0.01,,369.0,MTD,1.1111111111111112,0.1,odeModel_densDepDeath
15,196.0,False,False,0.65,4.0,0.01,53.116531165311656,565.0,0.5,1.1111111111111112,0.1,odeModel_densDepDeath
16,,False,False,0.65,,0.001,,465.0,MTD,1.1111111111111112,0.1,odeModel_densDepDeath
17,297.0,False,False,0.65,6.0,0.001,63.87096774193548,762.0,0.5,1.1111111111111112,0.1,odeModel_densDepDeath
