,Cost,Cured,IndefiniteControl,InitialTumourSize,NCycles,RelTimeGained,SFrac,TimeGained,TimeToFailure,TreatmentBranch,Turnover
0,0.0,False,False,0.75,,,0.9,,277.969696969697,MTD,0.0
1,0.0,False,False,0.75,0.0,0.0,0.9,0.0,277.969696969697,0.5,0.0
0,0.05,False,False,0.75,,,0.9,,289.62626262626264,MTD,0.0
1,0.05,False,False,0.75,0.0,0.0,0.9,0.0,289.62626262626264,0.5,0.0
0,0.1,False,False,0.75,,,0.9,,302.2929292929293,MTD,0.0
1,0.1,False,False,0.75,0.0,0.0,0.9,0.0,302.2929292929293,0.5,0.0
0,0.15000000000000002,False,False,0.75,,,0.9,,316.1212121212121,MTD,0.0
1,0.15000000000000002,False,False,0.75,0.0,0.0,0.9,0.0,316.1212121212121,0.5,0.0
0,0.2,False,False,0.75,,,0.9,,331.3030303030303,MTD,0.0
1,0.2,False,False,0.75,0.0,0.0,0.9,0.0,331.3030303030303,0.5,0.0
0,0.25,False,False,0.75,,,0.9,,348.1111111111111,MTD,0.0
1,0.25,False,False,0.75,0.0,0.0,0.9,0.0,348.1111111111111,0.5,0.0
0,0.30000000000000004,False,False,0.75,,,0.9,,366.85858585858585,MTD,0.0
1,0.30000000000000004,False,False,0.75,0.0,0.0,0.9,0.0,366.85858585858585,0.5,0.0
0,0.35000000000000003,False,False,0.75,,,0.9,,387.979797979798,MTD,0.0
1,0.35000000000000003,False,False,0.75,0.0,0.0,0.9,0.0,387.979797979798,0.5,0.0
0,0.4,False,False,0.75,,,0.9,,412.06060606060606,MTD,0.0
1,0.4,False,False,0.75,0.0,0.0,0.9,0.0,412.06060606060606,0.5,0.0
0,0.45,False,False,0.75,,,0.9,,439.8989898989899,MTD,0.0
1,0.45,False,False,0.75,0.0,0.0,0.9,0.0,439.8989898989899,0.5,0.0
0,0.5,False,False,0.75,,,0.9,,472.6161616161616,MTD,0.0
1,0.5,False,False,0.75,0.0,0.0,0.9,0.0,472.6161616161616,0.5,0.0
0,0.0,False,False,0.75,,,0.9,,321.82828282828285,MTD,0.05
1,0.0,False,False,0.75,0.0,0.0,0.9,0.0,321.82828282828285,0.5,0.05
0,0.05,False,False,0.75,,,0.9,,337.93939393939394,MTD,0.05
1,0.05,False,False,0.75,0.0,0.0,0.9,0.0,337.93939393939394,0.5,0.05
0,0.1,False,False,0.75,,,0.9,,356.1111111111111,MTD,0.05
1,0.1,False,False,0.75,0.0,0.0,0.9,0.0,356.1111111111111,0.5,0.05
0,0.15000000000000002,False,False,0.75,,,0.9,,376.8787878787879,MTD,0.05
1,0.15000000000000002,False,False,0.75,0.0,0.0,0.9,0.0,376.8787878787879,0.5,0.05
0,0.2,False,False,0.75,,,0.9,,400.979797979798,MTD,0.05
1,0.2,False,False,0.75,0.0,0.0,0.9,0.0,400.979797979798,0.5,0.05
0,0.25,False,False,0.75,,,0.9,,429.54545454545456,MTD,0.05
1,0.25,False,False,0.75,0.0,0.0,0.9,0.0,429.54545454545456,0.5,0.05
0,0.30000000000000004,False,False,0.75,,,0.9,,464.3838383838384,MTD,0.05
1,0.30000000000000004,False,False,0.75,0.0,0.0,0.9,0.0,464.3838383838384,0.5,0.05
0,0.35000000000000003,False,False,0.75,,,0.9,,508.73737373737373,MTD,0.05
1,0.35000000000000003,False,False,0.75,0.0,0.0,0.9,0.0,508.73737373737373,0.5,0.05
0,0.4,False,False,0.75,,,0.9,,569.5757575757576,MTD,0.05
1,0.4,False,False,0.75,0.0,0.0,0.9,0.0,569.5757575757576,0.5,0.05
0,0.45,False,False,0.75,,,0.9,,668.8282828282828,MTD,0.05
1,0.45,False,False,0.75,0.0,0.0,0.9,0.0,668.8282828282828,0.5,0.05
0,0.5,False,False,0.75,,,0.9,,3586.979797979798,MTD,0.05
1,0.5,False,False,0.75,1.0,0.15209892118239082,0.9,545.5757575757575,4132.555555555556,0.5,0.05
0,0.0,False,False,0.75,,,0.9,,2610.030303030303,MTD,0.1
1,0.0,False,False,0.75,0.0,0.0,0.9,0.0,2610.030303030303,0.5,0.1
0,0.05,False,True,0.75,,,0.9,,,MTD,0.1
1,0.05,False,True,0.75,,,0.9,,,0.5,0.1
0,0.1,False,True,0.75,,,0.9,,,MTD,0.1
1,0.1,False,True,0.75,,,0.9,,,0.5,0.1
