,Cost,Cured,IndefiniteControl,InitialTumourSize,NCycles,RelTimeGained,SFrac,TimeGained,TimeToFailure,TreatmentBranch,Turnover
0,0.0,False,False,0.75,,,0.999,,451.6060606060606,MTD,0.0
1,0.0,False,False,0.75,2.0,0.46757923460600775,0.999,211.16161616161617,662.7676767676768,0.5,0.0
0,0.05,False,False,0.75,,,0.999,,470.020202020202,MTD,0.0
1,0.05,False,False,0.75,2.0,0.458028883349093,0.999,215.28282828282823,685.3030303030303,0.5,0.0
0,0.1,False,False,0.75,,,0.999,,490.4343434343434,MTD,0.0
1,0.1,False,False,0.75,2.0,0.440755463102177,0.999,216.16161616161617,706.5959595959596,0.5,0.0
0,0.15000000000000002,False,False,0.75,,,0.999,,513.1919191919192,MTD,0.0
1,0.15000000000000002,False,False,0.75,2.0,0.4256387040900681,0.999,218.43434343434342,731.6262626262626,0.5,0.0
0,0.2,False,False,0.75,,,0.999,,538.7575757575758,MTD,0.0
1,0.2,False,False,0.75,3.0,0.5250201548643532,0.999,282.8585858585859,821.6161616161617,0.5,0.0
0,0.25,False,False,0.75,,,0.999,,567.7070707070707,MTD,0.0
1,0.25,False,False,0.75,3.0,0.5760724516484885,0.999,327.04040404040404,894.7474747474747,0.5,0.0
0,0.30000000000000004,False,False,0.75,,,0.999,,600.7575757575758,MTD,0.0
1,0.30000000000000004,False,False,0.75,3.0,0.5491551071878941,0.999,329.9090909090909,930.6666666666666,0.5,0.0
0,0.35000000000000003,False,False,0.75,,,0.999,,638.8787878787879,MTD,0.0
1,0.35000000000000003,False,False,0.75,3.0,0.5157077582254265,0.999,329.47474747474746,968.3535353535353,0.5,0.0
0,0.4,False,False,0.75,,,0.999,,683.3434343434343,MTD,0.0
1,0.4,False,False,0.75,4.0,0.632097086517568,0.999,431.9393939393939,1115.2828282828282,0.5,0.0
0,0.45,False,False,0.75,,,0.999,,735.9090909090909,MTD,0.0
1,0.45,False,False,0.75,4.0,0.6082904399148996,0.999,447.6464646464648,1183.5555555555557,0.5,0.0
0,0.5,False,False,0.75,,,0.999,,799.010101010101,MTD,0.0
1,0.5,False,False,0.75,4.0,0.5455361432075041,0.999,435.8888888888888,1234.8989898989898,0.5,0.0
0,0.0,False,False,0.75,,,0.999,,482.32323232323233,MTD,0.05
